# SIMULATED ACADEMIC DATA - FOR PLATFORM SIMULATION AND TESTING ONLY
donor_type,food_category,meal_type,day_of_week,event_type,prepared_quantity,expected_people,actual_people,previous_surplus,preparation_time,surplus_quantity
other,dairy,dinner,0,none,295.28,422,332,24.93,4.3,65.93
hotel,fresh_produce,breakfast,0,none,78.39,134,116,3.46,7.38,14.19
supermarket,dairy,snack,5,none,20.47,32,32,1.13,2.13,3.09
other,meat_poultry,lunch,2,weekend_rush,76.84,131,127,11.23,6.05,11.24
hotel,meat_poultry,breakfast,0,weekend_rush,364.97,529,490,5.63,5.0,37.98
caterer,fresh_produce,breakfast,1,corporate,377.67,880,586,46.71,3.5,176.29
supermarket,other,lunch,5,wedding,332.15,797,689,44.65,5.16,43.4
restaurant,bakery,lunch,3,holiday,291.35,404,246,39.11,4.83,136.87
supermarket,other,lunch,6,wedding,220.03,317,323,7.24,7.83,0.0
caterer,meat_poultry,all_day,6,none,36.59,78,62,0.45,3.82,0.36
other,meat_poultry,breakfast,6,none,349.94,506,468,19.48,7.91,37.75
supermarket,bakery,dinner,0,none,295.6,497,515,40.45,2.47,0.0
other,cooked_meals,all_day,6,none,314.88,560,372,24.21,3.89,139.73
other,bakery,snack,4,none,215.63,396,396,31.36,2.81,3.16
other,meat_poultry,breakfast,3,none,388.53,668,573,48.31,4.02,56.78
caterer,dairy,snack,0,none,156.52,283,295,18.35,5.94,0.0
caterer,other,snack,2,none,122.5,289,234,2.24,4.17,29.51
other,dairy,all_day,0,none,35.8,77,58,2.77,4.42,11.15
caterer,other,snack,6,none,137.01,200,146,1.93,5.71,41.07
other,other,lunch,0,holiday,378.95,562,225,32.44,1.21,228.57
restaurant,other,snack,0,wedding,377.53,516,422,9.02,5.23,81.74
restaurant,bakery,breakfast,0,holiday,317.31,506,305,15.57,5.67,154.75
supermarket,cooked_meals,all_day,0,none,350.18,636,477,33.1,5.27,93.47
other,dairy,snack,4,none,110.27,200,129,7.67,3.66,46.53
supermarket,cooked_meals,snack,4,holiday,61.39,133,114,3.63,4.85,10.9
supermarket,fresh_produce,dinner,2,none,94.4,234,184,13.13,1.42,22.03
other,meat_poultry,dinner,1,none,254.59,417,327,22.19,1.63,62.59
supermarket,cooked_meals,breakfast,4,none,66.32,140,135,7.05,1.75,5.77
supermarket,meat_poultry,lunch,3,none,53.07,73,61,0.02,5.47,0.0
other,other,snack,0,corporate,265.71,565,337,22.19,2.79,107.07
caterer,cooked_meals,dinner,3,none,273.67,624,588,6.9,6.16,35.74
supermarket,bakery,all_day,0,none,138.66,281,227,13.15,1.41,22.29
restaurant,cooked_meals,dinner,6,wedding,173.64,303,253,3.34,1.73,43.3
supermarket,other,lunch,6,corporate,120.66,183,173,6.22,5.32,14.15
other,bakery,snack,1,wedding,46.57,70,61,1.61,4.2,0.0
supermarket,fresh_produce,lunch,5,none,297.65,507,402,7.83,5.83,58.01
restaurant,cooked_meals,breakfast,6,corporate,152.08,228,192,22.64,7.49,25.61
caterer,bakery,breakfast,5,none,256.96,589,519,30.14,5.96,47.22
caterer,bakery,lunch,4,none,53.3,68,73,3.58,5.2,0.0
hotel,other,dinner,6,weekend_rush,343.54,710,641,45.24,7.08,48.16
hotel,fresh_produce,breakfast,6,none,85.94,126,105,10.6,1.93,19.39
restaurant,fresh_produce,breakfast,5,holiday,335.15,635,477,25.44,2.63,99.35
other,fresh_produce,snack,3,none,212.33,368,311,19.73,5.55,33.2
hotel,dairy,all_day,2,none,100.47,169,134,6.49,2.19,33.41
other,bakery,snack,5,none,87.55,129,90,3.06,2.55,37.33
other,fresh_produce,snack,3,holiday,295.24,411,195,23.27,4.37,166.55
other,meat_poultry,all_day,5,none,70.85,124,98,2.02,5.33,23.28
other,meat_poultry,lunch,1,wedding,95.57,224,208,9.26,4.5,5.8
other,cooked_meals,snack,1,none,300.2,508,517,35.35,7.24,0.0
restaurant,bakery,breakfast,0,wedding,186.29,371,350,18.42,7.27,18.26
restaurant,bakery,snack,6,none,77.06,110,72,0.98,6.01,32.88
other,dairy,dinner,0,weekend_rush,300.25,554,537,34.89,5.63,4.78
caterer,dairy,dinner,1,none,270.92,383,275,15.52,2.44,97.26
restaurant,fresh_produce,snack,5,none,384.73,650,601,27.37,1.8,38.3
other,meat_poultry,snack,1,none,148.54,192,179,9.79,5.29,5.15
caterer,other,snack,4,wedding,208.5,514,424,17.01,5.45,44.68
other,other,snack,2,none,306.21,603,412,31.48,1.64,100.07
supermarket,dairy,snack,4,none,308.11,441,436,4.33,5.04,4.74
restaurant,meat_poultry,lunch,1,none,113.74,164,119,9.47,6.13,34.41
hotel,dairy,lunch,0,none,224.7,368,291,0.37,6.25,60.44
other,bakery,snack,2,corporate,339.95,578,504,32.81,6.46,51.72
hotel,cooked_meals,all_day,5,none,284.33,708,710,3.97,5.12,5.31
caterer,meat_poultry,dinner,4,none,233.36,373,233,9.44,6.78,125.69
restaurant,other,dinner,5,wedding,303.45,382,329,17.0,1.86,42.59
restaurant,bakery,lunch,6,none,247.33,356,342,29.15,1.83,22.47
caterer,dairy,breakfast,1,none,90.1,165,141,12.71,2.82,8.99
supermarket,dairy,all_day,4,none,202.74,353,289,1.52,7.33,36.47
hotel,bakery,breakfast,3,corporate,80.39,124,82,11.53,1.48,35.28
caterer,cooked_meals,snack,6,none,364.38,729,544,42.45,1.46,142.59
other,fresh_produce,dinner,3,wedding,233.56,433,336,8.3,6.13,54.33
hotel,fresh_produce,all_day,1,holiday,319.33,491,330,34.73,2.34,139.93
restaurant,dairy,dinner,0,weekend_rush,387.6,819,778,39.75,4.82,22.56
other,meat_poultry,lunch,3,corporate,45.71,66,55,3.32,2.16,8.98
supermarket,other,breakfast,1,none,347.56,595,549,5.84,3.49,29.49
hotel,dairy,breakfast,6,holiday,227.04,322,218,8.7,7.63,88.64
supermarket,fresh_produce,lunch,0,none,44.78,76,64,0.71,5.6,11.44
restaurant,dairy,lunch,2,corporate,386.5,802,723,33.49,5.44,44.65
restaurant,other,lunch,1,none,231.97,497,497,5.88,4.55,6.78
caterer,bakery,all_day,3,holiday,139.0,193,125,20.61,4.4,68.72
other,meat_poultry,all_day,1,none,355.13,621,426,47.42,1.56,137.99
other,dairy,all_day,3,holiday,331.24,537,418,40.82,4.21,84.82
other,cooked_meals,dinner,3,none,86.03,125,117,5.81,6.24,5.12
restaurant,other,breakfast,4,holiday,340.62,679,535,34.83,2.17,74.21
caterer,fresh_produce,breakfast,6,none,264.3,390,429,1.32,3.13,0.0
caterer,other,snack,3,none,326.81,771,601,0.01,2.18,93.81
supermarket,other,snack,4,none,164.55,208,192,18.26,7.43,7.59
restaurant,dairy,dinner,2,corporate,325.86,800,521,42.66,1.79,124.79
other,meat_poultry,snack,0,none,24.71,42,33,1.5,6.2,0.0
caterer,dairy,snack,3,holiday,273.77,429,259,1.42,5.08,141.61
supermarket,meat_poultry,all_day,4,none,103.69,174,153,13.51,1.45,21.61
restaurant,meat_poultry,snack,5,none,314.07,490,420,29.74,5.14,58.07
other,dairy,snack,6,none,59.61,107,59,5.37,6.21,27.46
restaurant,other,breakfast,1,none,199.55,477,408,9.92,4.37,27.34
hotel,meat_poultry,snack,0,none,22.09,54,47,2.86,4.59,0.16
hotel,other,breakfast,0,holiday,128.13,176,90,0.57,5.73,75.59
hotel,dairy,all_day,6,none,169.94,298,218,15.5,3.17,57.35
other,cooked_meals,snack,1,corporate,347.89,867,604,45.48,2.8,136.87
caterer,other,breakfast,6,wedding,55.07,86,70,2.65,6.25,13.51
supermarket,meat_poultry,breakfast,1,none,245.59,607,458,32.19,6.07,62.46
hotel,meat_poultry,lunch,4,none,222.91,487,426,16.25,5.04,36.63
supermarket,meat_poultry,all_day,5,none,150.4,217,156,9.7,5.71,44.48
restaurant,meat_poultry,lunch,5,none,323.38,443,469,18.0,5.21,0.0
caterer,fresh_produce,breakfast,6,none,82.94,125,109,4.71,1.05,16.99
hotel,other,dinner,0,none,341.91,558,453,5.4,2.17,83.27
supermarket,meat_poultry,dinner,2,weekend_rush,166.0,399,344,3.98,1.16,21.0
hotel,meat_poultry,all_day,5,none,337.48,615,562,50.36,4.82,29.48
other,meat_poultry,dinner,6,none,31.76,40,23,1.23,6.87,5.88
hotel,cooked_meals,lunch,4,none,41.91,78,84,0.87,4.11,0.0
supermarket,dairy,snack,2,corporate,299.14,575,347,32.79,2.04,110.56
other,bakery,all_day,3,weekend_rush,70.3,110,115,4.83,1.27,2.28
hotel,fresh_produce,all_day,0,wedding,197.38,477,499,14.56,3.12,0.0
caterer,other,dinner,0,none,187.67,292,250,25.18,4.19,38.37
caterer,dairy,snack,6,weekend_rush,96.18,216,189,12.22,7.25,22.06
hotel,other,dinner,2,none,389.18,797,559,1.78,7.1,143.5
supermarket,cooked_meals,all_day,3,holiday,125.93,260,211,13.94,6.84,31.68
restaurant,meat_poultry,all_day,4,holiday,327.49,434,324,35.52,2.96,99.21
caterer,other,dinner,2,none,260.19,412,372,9.45,4.35,33.73
supermarket,cooked_meals,lunch,4,wedding,100.22,134,147,4.0,1.15,0.0
other,bakery,breakfast,0,none,32.79,67,48,3.6,7.07,8.48
supermarket,cooked_meals,snack,5,none,279.39,562,404,23.15,4.64,92.32
other,dairy,lunch,3,none,128.02,282,251,6.1,1.0,15.84
supermarket,meat_poultry,lunch,1,none,288.65,679,523,4.41,3.52,61.54
hotel,bakery,dinner,1,none,319.79,422,321,46.25,1.63,107.25
supermarket,cooked_meals,all_day,0,weekend_rush,340.81,508,458,44.76,2.28,36.93
caterer,dairy,breakfast,3,corporate,133.26,301,217,7.2,7.7,55.19
caterer,bakery,dinner,6,none,261.08,368,307,28.18,3.6,56.99
hotel,other,breakfast,3,wedding,250.95,484,432,11.88,5.51,28.44
other,fresh_produce,breakfast,3,none,36.34,54,43,0.54,5.82,11.12
other,meat_poultry,lunch,5,corporate,380.56,922,708,15.22,6.07,103.9
restaurant,fresh_produce,lunch,3,none,309.68,532,528,39.82,5.03,1.08
supermarket,dairy,breakfast,1,none,185.49,348,254,17.86,4.99,44.12
hotel,meat_poultry,snack,4,weekend_rush,341.88,835,693,40.02,4.21,79.97
hotel,fresh_produce,dinner,4,none,113.71,191,175,16.34,7.6,21.7
other,fresh_produce,lunch,2,weekend_rush,48.73,89,83,1.03,5.36,0.68
supermarket,dairy,all_day,2,none,328.23,501,343,17.0,7.42,93.59
caterer,bakery,breakfast,5,none,75.98,188,186,10.92,4.71,12.16
other,cooked_meals,all_day,5,none,124.39,172,103,0.82,2.16,52.94
other,fresh_produce,all_day,2,wedding,72.06,90,99,1.18,5.46,0.0
caterer,dairy,lunch,5,none,118.63,206,191,17.46,2.33,13.0
hotel,meat_poultry,dinner,4,weekend_rush,384.85,632,544,41.47,2.73,66.59
restaurant,dairy,breakfast,2,weekend_rush,310.16,417,298,36.49,3.64,101.16
caterer,cooked_meals,dinner,4,none,142.23,192,176,0.62,4.37,19.88
other,meat_poultry,lunch,3,none,171.18,222,209,19.37,7.43,18.6
restaurant,dairy,lunch,5,wedding,397.13,716,787,53.75,7.14,0.0
caterer,fresh_produce,lunch,2,none,34.79,83,71,4.96,5.07,6.22
hotel,dairy,all_day,2,none,339.07,741,527,20.39,6.34,123.64
supermarket,fresh_produce,lunch,3,none,117.02,225,200,6.4,3.07,13.62
hotel,meat_poultry,breakfast,2,none,334.16,797,604,41.34,4.61,112.61
restaurant,meat_poultry,snack,6,weekend_rush,168.89,272,153,1.55,3.54,89.71
restaurant,cooked_meals,all_day,4,none,355.44,844,758,34.16,3.91,44.41
other,cooked_meals,lunch,5,none,290.8,400,347,35.19,7.89,44.25
other,other,all_day,0,none,177.5,253,264,12.83,3.53,0.0
caterer,bakery,dinner,4,none,316.68,463,475,4.67,6.62,0.0
supermarket,meat_poultry,breakfast,0,none,39.72,86,70,0.71,6.35,1.78
other,bakery,breakfast,2,none,212.54,383,333,19.64,6.9,34.39
caterer,dairy,all_day,2,corporate,223.03,361,340,3.96,7.73,13.95
hotel,dairy,snack,2,holiday,327.34,487,373,24.62,1.5,102.85
hotel,cooked_meals,dinner,2,none,276.13,656,710,14.62,5.35,0.0
restaurant,meat_poultry,breakfast,3,none,45.97,64,58,2.29,1.4,0.0
caterer,bakery,all_day,3,wedding,260.27,542,392,10.85,2.93,101.61
supermarket,bakery,breakfast,1,none,391.3,886,707,11.14,5.08,82.57
restaurant,dairy,breakfast,3,none,250.08,412,312,25.88,2.01,75.04
hotel,meat_poultry,snack,2,none,284.4,487,401,30.02,3.61,63.42
hotel,cooked_meals,breakfast,0,wedding,241.75,396,259,34.05,1.05,122.27
caterer,cooked_meals,breakfast,4,none,25.85,40,34,2.0,6.88,0.0
supermarket,other,breakfast,1,none,184.76,422,346,7.17,4.04,31.25
restaurant,dairy,lunch,2,none,253.05,386,307,7.56,7.14,52.61
caterer,bakery,breakfast,5,none,114.07,268,171,11.51,1.57,58.42
supermarket,cooked_meals,dinner,3,weekend_rush,226.82,472,321,25.11,4.65,86.29
hotel,other,lunch,0,weekend_rush,242.09,393,372,32.51,5.67,10.24
hotel,meat_poultry,lunch,4,holiday,262.42,357,143,30.86,3.94,208.92
hotel,cooked_meals,breakfast,4,none,211.0,499,397,24.19,3.87,65.82
supermarket,bakery,breakfast,5,none,80.98,189,142,9.89,5.8,16.14
hotel,fresh_produce,all_day,0,none,114.98,189,207,14.29,6.53,0.0
other,fresh_produce,lunch,0,none,377.63,503,439,28.5,2.36,50.02
other,cooked_meals,breakfast,3,holiday,304.38,528,395,8.18,5.86,98.04
other,bakery,all_day,1,none,319.98,616,677,35.15,7.17,0.0
supermarket,cooked_meals,snack,2,none,217.31,337,351,31.29,5.31,0.0
other,bakery,breakfast,5,holiday,278.01,492,382,22.8,5.03,75.86
other,meat_poultry,breakfast,4,none,148.14,324,318,19.9,2.43,7.27
restaurant,meat_poultry,breakfast,0,wedding,345.78,516,413,37.07,7.17,80.46
caterer,bakery,breakfast,4,holiday,340.46,573,303,9.37,6.98,227.96
other,dairy,dinner,4,none,266.15,655,657,19.13,2.27,0.0
caterer,fresh_produce,snack,0,weekend_rush,191.18,315,297,20.91,5.26,15.6
caterer,dairy,snack,3,none,152.98,198,136,8.56,5.42,61.28
supermarket,meat_poultry,breakfast,3,corporate,241.81,339,215,5.09,5.7,90.94
caterer,meat_poultry,dinner,6,wedding,151.85,272,269,9.87,6.42,0.0
supermarket,meat_poultry,all_day,5,corporate,136.62,241,195,3.8,5.2,33.53
supermarket,other,snack,1,none,91.41,212,197,9.04,6.57,13.87
restaurant,dairy,dinner,5,none,220.92,302,315,27.3,1.44,0.0
other,fresh_produce,snack,1,wedding,159.97,279,240,16.0,3.26,17.57
hotel,meat_poultry,all_day,5,none,304.24,419,242,14.52,7.73,164.49
hotel,dairy,all_day,2,none,25.21,58,58,2.56,1.04,5.69
hotel,meat_poultry,all_day,4,none,240.76,302,264,14.06,2.6,48.51
hotel,dairy,lunch,6,wedding,260.57,443,434,18.02,7.58,0.0
hotel,dairy,all_day,1,none,348.18,784,683,33.65,7.82,61.46
supermarket,other,dinner,0,wedding,247.73,525,516,31.12,2.19,14.48
caterer,cooked_meals,breakfast,6,none,192.36,330,253,27.51,7.17,72.84
supermarket,meat_poultry,breakfast,5,wedding,49.85,71,65,0.5,2.62,0.01
restaurant,fresh_produce,snack,6,holiday,270.44,558,345,32.56,7.98,116.84
caterer,meat_poultry,lunch,0,wedding,389.89,665,672,47.78,6.97,0.0
other,dairy,dinner,1,none,100.1,203,222,2.51,2.03,0.0
hotel,meat_poultry,breakfast,3,none,323.35,609,614,12.44,3.49,0.0
other,meat_poultry,snack,4,none,361.33,508,445,38.3,5.32,49.81
other,other,lunch,5,none,21.19,45,37,1.98,6.01,9.05
other,cooked_meals,breakfast,5,corporate,238.23,357,249,19.23,6.88,92.89
restaurant,bakery,snack,1,none,205.97,295,324,11.17,7.02,0.0
supermarket,fresh_produce,dinner,0,none,363.25,480,395,27.95,7.09,71.8
caterer,fresh_produce,breakfast,4,wedding,73.66,117,115,2.02,6.78,0.0
other,other,breakfast,5,none,323.14,590,473,38.58,2.23,61.78
restaurant,bakery,all_day,1,none,243.79,347,255,13.77,2.62,87.05
caterer,bakery,breakfast,6,none,131.7,266,197,11.65,1.05,50.6
caterer,bakery,all_day,6,none,183.39,287,214,0.84,2.43,65.27
restaurant,dairy,snack,6,weekend_rush,213.74,355,390,26.91,2.12,0.0
hotel,dairy,lunch,0,none,196.96,277,225,5.9,1.39,49.31
hotel,bakery,breakfast,1,wedding,235.0,304,298,29.15,4.67,7.03
restaurant,bakery,dinner,2,none,31.44,40,33,3.06,5.75,7.78
caterer,cooked_meals,all_day,2,none,153.16,200,180,12.48,3.43,14.44
caterer,other,dinner,1,none,74.06,140,112,10.43,4.17,20.18
caterer,dairy,breakfast,6,none,246.18,534,458,9.11,4.3,48.87
supermarket,bakery,lunch,3,corporate,239.6,314,228,0.25,2.49,71.43
other,fresh_produce,lunch,6,none,356.14,469,405,14.51,2.33,57.15
hotel,cooked_meals,all_day,0,holiday,332.55,708,522,47.38,1.96,133.22
restaurant,meat_poultry,breakfast,1,none,362.92,675,476,44.69,4.97,132.07
hotel,cooked_meals,lunch,0,weekend_rush,51.44,102,90,0.58,3.53,9.95
hotel,meat_poultry,all_day,4,none,246.04,353,296,3.81,2.21,51.57
hotel,meat_poultry,all_day,5,none,321.56,779,756,5.58,1.19,16.6
restaurant,other,all_day,6,none,72.4,107,92,9.73,6.56,13.36
restaurant,bakery,lunch,4,none,197.34,332,305,23.93,6.77,23.33
hotel,meat_poultry,breakfast,6,none,374.37,836,689,1.83,4.33,89.23
caterer,other,dinner,1,weekend_rush,233.63,340,295,4.08,5.29,35.32
hotel,fresh_produce,dinner,0,wedding,107.96,160,163,15.58,4.11,0.0
caterer,meat_poultry,lunch,5,none,102.44,198,172,2.4,2.54,18.89
other,cooked_meals,dinner,5,none,388.1,768,605,27.05,3.66,101.83
other,bakery,dinner,5,corporate,221.89,330,159,4.87,6.83,129.96
supermarket,meat_poultry,snack,3,corporate,210.18,366,265,28.42,2.51,50.78
hotel,dairy,lunch,2,corporate,284.74,537,408,35.04,4.08,84.61
restaurant,fresh_produce,dinner,4,weekend_rush,29.79,46,33,0.6,7.57,15.19
supermarket,dairy,all_day,6,none,208.82,272,245,13.85,6.58,21.98
supermarket,bakery,lunch,5,none,26.31,39,39,0.12,6.84,1.73
other,bakery,lunch,3,none,372.23,766,639,40.82,7.63,72.88
restaurant,fresh_produce,dinner,6,none,285.13,522,475,22.9,4.96,30.88
caterer,fresh_produce,all_day,5,none,104.28,197,185,3.02,1.35,7.8
caterer,meat_poultry,lunch,6,none,207.16,359,349,5.01,5.0,0.03
other,dairy,snack,4,none,121.91,223,154,0.63,3.74,35.31
supermarket,meat_poultry,dinner,5,weekend_rush,151.03,282,265,2.52,5.54,7.31
caterer,bakery,snack,0,none,60.12,143,120,0.32,7.93,24.32
other,cooked_meals,breakfast,1,none,64.57,138,97,6.18,7.9,20.77
supermarket,dairy,snack,1,none,145.51,232,198,15.04,6.76,23.09
other,fresh_produce,lunch,6,holiday,35.25,46,29,4.58,1.72,10.94
supermarket,dairy,lunch,2,weekend_rush,71.33,154,119,3.46,5.63,15.22
supermarket,meat_poultry,all_day,5,none,286.53,643,693,1.2,5.36,0.0
restaurant,cooked_meals,snack,6,wedding,182.03,293,293,26.36,1.35,0.0
